zipcode,geolocation_lat,geolocation_lng
1001,-23.550189776551765,-46.6340235559042
1002,-23.54814573176355,-46.63497921074498
1003,-23.54899372481316,-46.635731309975874
1004,-23.549798842277006,-46.63475694378971
1005,-23.549456199830747,-46.63673294803691
1006,-23.55010181145287,-46.636136735174176
1007,-23.550046202351666,-46.637251459637646
1008,-23.54600174938346,-46.63588592135778
1009,-23.546835208320868,-46.636490695312204
1010,-23.54638943836927,-46.635226081509046
1011,-23.54690864025111,-46.63558202636042
1012,-23.547789733146864,-46.63485900505736
1013,-23.5471420283239,-46.63423580006204
1014,-23.545912805690417,-46.63361537124495
1015,-23.54766574938348,-46.631558570722675
1016,-23.54897640702995,-46.63235192955855
1017,-23.54953127194786,-46.631023845552235
1018,-23.550928517909007,-46.63243146837755
1019,-23.551774137807584,-46.63089338270138
1020,-23.55233565155142,-46.630049709845736
1021,-23.543000459064803,-46.63214323386248
1022,-23.544921826153427,-46.631931335611945
1023,-23.542330784361457,-46.63137340438761
1024,-23.54140143278026,-46.62990400057277
1025,-23.540291945676326,-46.630928059419446
1026,-23.539657127270946,-46.6318842127058
1027,-23.538082328385336,-46.6306686750678
1028,-23.535932541180536,-46.63355514575825
1029,-23.541373048980535,-46.633415988443026
1030,-23.53954929175343,-46.633023251513535
1031,-23.54190585344045,-46.63508761691669
1032,-23.540124454559955,-46.63519354379768
1033,-23.539271437077804,-46.635878084214845
1034,-23.542515317419948,-46.63736744880091
1035,-23.541614488738944,-46.641549142526515
1036,-23.541648452336283,-46.641443277359336
1037,-23.545411016454082,-46.63892437204838
1038,-23.54390737962768,-46.63999380609391
1039,-23.54137085777194,-46.63916528885119
1040,-23.541028179008823,-46.63832469496941
1041,-23.54390458746036,-46.640046486444724
1042,-23.54485294953175,-46.640410456031695
1043,-23.545765991186382,-46.641502464541404
1044,-23.545598238423416,-46.64145267015315
1045,-23.542345366178562,-46.64252697570119
1046,-23.545930039168812,-46.64399751778182
1047,-23.546187607081748,-46.64106743356167
1048,-23.54711318884073,-46.63983987489639
1049,-23.54701123674601,-46.63916570493306
1050,-23.54922916358051,-46.64303023455153
1101,-23.528286860378213,-46.631957535031056
1102,-23.52557140695574,-46.63028748439394
1103,-23.53546844605213,-46.630290773383486
1104,-23.534952165368537,-46.62957039061347
1105,-23.53409398177586,-46.629077680173324
1106,-23.53022077513783,-46.62822125953078
1107,-23.52608789203137,-46.6295898871866
1108,-23.527232171325494,-46.63035441819986
1109,-23.524624899587646,-46.627103243360565
1120,-23.530162529753113,-46.63951141166309
1121,-23.527866658998825,-46.635256920492864
1122,-23.53113059653861,-46.638324826141925
1123,-23.529164543710603,-46.636582392674725
1124,-23.528221233825743,-46.6330954010969
1125,-23.52728844957164,-46.64016432350874
1126,-23.52706654933756,-46.6391527868084
1127,-23.52548080336663,-46.64159548852641
1128,-23.523786738657147,-46.64220966455253
1129,-23.524051385464382,-46.64507304012999
1130,-23.52483082086712,-46.64492992157746
1131,-23.522379737671027,-46.64310784736644
1132,-23.52153987930432,-46.64873923331728
1133,-23.52042428170985,-46.65332230946677
1134,-23.518899939878285,-46.65269033643667
1135,-23.52619042672918,-46.650970041202214
1136,-23.523986920181713,-46.66135135045779
1137,-23.522851480322114,-46.65280923153935
1138,-23.522455823939264,-46.65525390366426
1139,-23.520724956071753,-46.66593897144172
1140,-23.52043844370904,-46.66923716844039
1141,-23.520310325905555,-46.666439013917504
1142,-23.519934305152635,-46.6251300217966
1144,-23.523572749295845,-46.67242459028445
1150,-23.53295302359728,-46.658245942661345
1151,-23.531641584683715,-46.656288753249086
1152,-23.529884845741268,-46.65527643333266
1153,-23.529930846298754,-46.653549086904356
1154,-23.530535897249937,-46.65929570388055
1155,-23.529072884025176,-46.66331995168207
1156,-23.528921138302913,-46.66643724514499
1189,-23.53210825506378,-46.63839470107914
1200,-23.531567773241413,-46.64986907784642
1201,-23.53608280967418,-46.649539390469315
1202,-23.533742576459336,-46.64828045105447
1203,-23.53596465666132,-46.64529955632679
1204,-23.535992639468514,-46.64408982260722
1205,-23.536490774893963,-46.64264196680963
1206,-23.53586368511747,-46.64281871336397
1207,-23.539175560135185,-46.63865415001012
1208,-23.538660495662256,-46.63898204602016
1209,-23.540695255566067,-46.64158293572283
1210,-23.540039340558916,-46.64209131081347
1211,-23.53757657410565,-46.648837901189005
1212,-23.538268511790665,-46.63942263256764
1213,-23.53650149461516,-46.64036116340707
1214,-23.538842493961862,-46.645230453060144
1215,-23.536167399914945,-46.64754185786535
1216,-23.533127593964494,-46.647833807450674
1217,-23.532657557836487,-46.648883992986306
1218,-23.531249798864057,-46.648325141054045
1219,-23.54128881428637,-46.64569860301066
1220,-23.544514011109737,-46.64603990221942
1221,-23.544867697472082,-46.64828171537101
1222,-23.545944543972997,-46.64936937401519
1223,-23.544088116558562,-46.6485821171502
1224,-23.54177865147579,-46.65242233963953
1225,-23.53978602121373,-46.64913883151016
1226,-23.538010108905684,-46.652719268127555
1227,-23.546201912968815,-46.658384582733994
1228,-23.545189379286004,-46.657610856988455
1229,-23.538901609843467,-46.657291130376834
1230,-23.536310405918027,-46.65711200863413
1231,-23.536950407426133,-46.65925589278497
1232,-23.53642800353018,-46.65742601137803
1233,-23.536246540149957,-46.66166521796578
1234,-23.539689562251546,-46.66424403546395
1235,-23.536714276862273,-46.66466630391698
1236,-23.543550224431343,-46.66741941090643
1237,-23.54323445101232,-46.668724402289044
1238,-23.542571396851145,-46.65424333104067
1239,-23.543095270084798,-46.631059196217635
1240,-23.543791843442868,-46.658543962529855
1241,-23.54552478660237,-46.65784019308335
1242,-23.546506947085888,-46.65850174642453
1243,-23.548120304994384,-46.65919184884556
1244,-23.56204912797664,-46.65959031403356
1245,-23.5494755238467,-46.66382107418295
1246,-23.55348129524968,-46.666318477031005
1247,-23.55063807285042,-46.66865580450115
1248,-23.54791252484105,-46.6680263133255
1249,-23.54841989244908,-46.67122044555848
1250,-23.547640483075995,-46.671972633543334
1251,-23.54837451640475,-46.67484647170287
1252,-23.541753975470872,-46.67893404000763
1253,-23.54492912635292,-46.679164692087
1254,-23.543337420255035,-46.680852402934015
1255,-23.546369835319183,-46.68154172682528
1256,-23.547773256174622,-46.682838349154586
