PC1,PC2
-32220.893,2298.524
12769.021,-17853.379
40061.41,26137.434
24043.877,1359.5245
-25935.096,5027.0566
51097.312,-375.2842
63792.7,27391.703
-8759.309,-7141.0044
64393.113,26685.002
-17020.777,32393.383
-14262.895,-43119.676
-30849.908,2773.9626
335.53073,-39645.027
-30279.895,-37212.594
-29943.883,46191.48
39911.78,-28783.787
-13733.616,6595.8794
53649.66,11670.469
-21883.982,-30540.93
8932.259,10693.402
-31138.621,-32713.455
-26727.125,8595.55
-31867.57,-21519.25
53905.965,22082.344
-17083.93,-10855.648
-13312.411,-13012.47
6173.1396,15158.18
-21458.125,-43853.547
-25887.916,-23014.598
34099.414,40442.38
-29567.096,38375.06
20325.322,-14608.766
-29388.178,27213.973
-8718.999,-13054.77
-21586.658,7098.1514
42622.125,-7043.1426
27241.523,9694.801
-15224.217,-42742.117
19252.596,12068.535
-30614.117,37724.934
-8625.844,-26881.996
-15804.982,24453.746
38275.48,19339.605
12733.727,26503.557
-21958.89,44563.863
-13173.177,19878.941
9314.056,-25069.854
-23026.998,27268.988
60273.26,-28391.928
-34108.395,40880.137
-28770.004,-19168.984
52774.523,-34449.395
55445.938,-26732.197
-10036.245,26653.146
-23060.898,-11223.021
-12916.477,998.1257
-31161.67,-44903.01
13882.456,-35470.266
-22280.57,17305.01
-30482.78,-26452.686
-26819.244,6731.7827
35718.973,-33992.86
-12449.333,-23752.793
3029.666,-10794.762
800.07715,42726.023
11481.441,8203.403
3112.7131,12680.592
-26884.756,-13748.294
-21998.59,-27321.746
54101.36,25554.773
-32850.695,29301.045
-22046.168,111.54347
-28660.621,-45918.863
2136.3496,28933.309
50712.676,-45810.344
43059.152,-15172.157
-21025.18,9652.156
58051.996,17355.547
-32708.594,-14820.105
-26493.895,-22424.135
36352.836,32392.508
-3847.2295,-26889.979
58876.555,46277.848
23599.123,-26962.156
9166.196,-37593.16
-21325.996,21143.945
54188.426,23628.885
-20924.783,-29035.62
-17027.365,-18520.22
4304.4062,22852.318
-30263.459,-17385.879
50538.72,2480.397
4140.0083,-22465.824
53167.79,-20553.936
-26671.055,19954.176
27917.969,47667.484
-31072.254,-28048.893
-14444.658,2872.0383
-21899.812,12601.405
50536.953,22681.09
-23647.055,44690.957
-23435.645,18196.625
-28697.63,43285.66
53058.645,-26959.22
62366.754,-8871.521
-22950.717,-5293.232
6409.7344,39543.465
3439.194,28127.8
90.62947,-15492.571
-31261.688,24863.992
-10174.048,-41970.97
-12273.504,-37508.84
35752.73,28882.324
-13865.556,-1016.5901
-7047.791,13560.688
-9625.956,1031.6628
55309.863,44199.707
-30956.293,30687.26
-10994.941,-6588.8467
23958.955,38390.133
-12422.496,30361.895
-20708.393,-26084.64
-25388.252,24252.936
-32938.63,-45823.426
23072.928,-36228.496
-14790.457,-2670.125
-25627.363,11930.747
-27475.217,-31258.621
-31745.729,-11807.904
45283.68,17335.725
-32241.232,20585.035
-7124.8926,-23444.385
4505.9277,27083.348
-12310.057,-848.1245
-28741.273,-47499.855
44874.336,32123.834
-28058.994,26581.688
-22261.402,-34342.477
1706.8806,-19251.521
-22255.12,44214.387
-16387.174,-28735.473
-28704.373,16210.991
37756.945,-38260.367
907.7972,-21259.705
-26168.922,-1148.1412
33541.367,-41284.617
60037.1,29666.492
-21550.838,-1317.3292
-30865.69,9682.811
44816.668,-13448.52
43602.617,30311.174
463.15247,47003.87
-20652.217,-20171.373
64173.6,34848.312
3341.5981,17016.658
64277.297,22058.275
-16538.295,-31245.62
-21752.506,17598.488
45144.305,-11340.577
41668.52,24504.557
60502.633,23.965813
37913.688,-30425.748
19782.598,41855.35
53993.57,-42659.785
-27761.264,-16469.238
-26439.441,46791.656
12586.543,9154.032
-29075.76,-11690.222
-32928.258,-47442.69
-4392.3804,-36743.19
-19142.027,16933.91
-32526.031,-25639.26
-30922.883,-3020.8506
-17806.53,-46545.062
-28922.3,-30181.506
22.546507,23345.193
-16721.717,-7694.744
44828.574,-21424.303
43525.84,12467.892
3513.5894,30628.217
-30278.092,13100.703
-30396.738,35460.16
-30581.201,-28133.252
43118.67,6269.1616
47057.066,-2279.3188
1781.7482,-29880.94
-32580.762,-9558.508
-4444.732,41885.453
-5997.5938,11449.963
60726.016,-6981.3047
-31980.908,5358.5845
-13172.255,45459.457
-28532.957,41962.39
-21926.652,31376.697
59966.51,46335.855
52991.34,17390.064
-2750.1382,-32985.363
41594.69,-16623.31
-30965.799,-37983.887
-21584.578,-14076.203
59955.688,-3792.9998
33744.895,-19329.723
-21012.52,-47731.934
52954.027,-4191.9995
-21556.129,-34529.0
15838.656,8818.623
-32037.812,-14115.993
163.10072,-27379.742
50914.566,-28341.004
60751.69,-36956.004
-27511.367,-8215.759
-21002.49,2974.39
-26960.508,34446.336
1352.4457,28317.31
-30591.121,-18333.305
50807.23,9089.679
-17580.875,30882.078
55710.176,-35654.402
-14716.288,20739.766
-22850.432,36517.395
-31366.465,-46300.082
44001.438,-27420.12
-23077.955,22785.824
-6206.6987,10000.434
-12335.85,32211.713
2930.472,-33507.516
-22043.822,-32965.008
1976.6661,-17992.568
3057.6714,41088.87
-23597.83,-14167.798
53139.34,15017.759
56222.27,297.57883
2978.991,-15602.538
-22105.432,9624.305
-26150.994,-26730.959
-12110.8545,-19284.143
45046.637,-44952.2
50450.215,-20569.354
-3403.8916,32187.0
-30618.982,-34418.79
51644.273,-16728.73
53669.09,45185.19
-22217.617,10962.257
-21965.613,33837.195
-23751.371,-15727.278
-22034.102,20529.441
59976.027,-21805.104
-21915.473,11901.805
-29394.537,15546.383
46519.805,6167.096
-15300.882,-21492.357
-25296.781,-8870.795
-10816.677,17348.52
-23539.902,38565.984
9856.016,6681.365
-21008.93,-40935.637
-9115.35,-46734.42
-10700.525,-9784.591
-28807.686,39407.336
-17532.393,-19497.127
56431.812,8479.65
-33833.977,8464.92
-10695.814,18714.38
-21498.719,-44312.13
47178.04,42980.6
-29979.256,3820.815
54161.285,23379.732
7577.6924,14219.816
-23611.154,-17000.465
-17144.734,33683.78
2284.4587,36077.02
-21699.701,-24294.549
-32899.098,-1600.7936
40712.844,-21544.316
-21831.518,32691.436
-29786.72,43483.125
35360.816,7276.1577
20094.258,-36965.086
-29429.477,-45162.168
43879.32,8988.136
61048.348,-2568.812
-23515.146,44756.07
-8969.242,42599.496
6550.203,28640.615
9079.787,-25907.438
-21684.035,-17497.895
4380.672,2553.1836
-6012.1006,38136.004
60453.703,-2658.8933
41796.88,28769.469
-31140.04,44140.11
-26577.553,-6011.229
-27943.365,-961.3792
50801.09,-28402.092
-6844.2417,-39278.723
20269.53,29616.256
-28965.602,462.56332
-10725.602,5875.1006
-30934.227,14416.118
-14269.924,37438.13
-26710.025,26419.047
-22333.729,17650.246
4416.704,33156.957
-19984.596,-25625.697
173.4227,-47688.613
-10721.172,31253.598
40550.875,4356.553
30920.438,-29211.229
-16997.322,-2849.7642
27496.191,-28804.94
-22371.73,9756.3125
-12077.992,-40101.906
-22137.525,-26546.309
-21038.316,-2047.9778
-23086.256,-29443.855
-12350.725,-13637.209
10076.015,-11048.271
35739.9,-33096.71
-20588.89,-30160.656
-16638.488,-31558.174
832.5675,206.01118
-28572.19,-15526.954
-30384.611,-19992.64
-5004.2275,20190.97
-31652.635,44997.754
-20144.887,45287.895
2519.9712,-39432.566
-22176.861,31041.904
-29055.408,33484.76
50873.414,-29601.145
-21720.441,-23772.89
-7782.753,12098.07
54188.934,8560.6
13403.29,-31876.848
50724.953,3280.1887
-30526.035,46906.277
3220.435,27003.725
46170.55,-30532.691
-14263.889,-41389.223
10505.63,-41444.484
-6097.979,18643.834
-26932.295,-47870.48
-30778.307,13922.318
-9169.637,7498.6367
-5916.5713,32898.62
-5893.659,-17178.965
51721.67,-15014.374
2337.907,-34675.055
2452.6743,-12825.722
13811.356,37984.387
-22826.533,-6058.31
-31121.943,32744.385
-30661.191,43596.508
12062.99,28505.86
39918.95,-41529.312
9995.712,-17451.098
-10978.65,19820.629
-27928.12,5114.8384
-23391.572,-40970.42
6697.9624,-9320.185
-4778.745,-17361.643
-20023.455,5976.009
37770.773,-26529.559
-30646.994,-12068.601
20013.152,-43208.465
-20274.621,47545.85
55282.22,22111.045
-29290.533,-8343.607
-20073.633,-11696.301
-14499.36,25659.518
-11167.107,-9480.283
60737.344,26394.113
25562.21,45082.56
-30044.309,-28747.996
-23319.021,-26206.434
-13764.144,-22804.215
-14590.965,11252.304
-28695.738,-28158.412
14965.5205,40858.773
47715.98,45585.242
4449.3857,14168.554
-17007.465,-14767.695
53263.863,27515.268
-24003.871,-37564.766
-8966.244,-18795.768
8721.728,-10200.117
30736.793,43702.293
58342.49,-5029.845
-28230.492,-9510.661
6301.1333,3561.0664
62021.51,-26086.867
39279.453,-14000.836
60632.07,46076.445
51391.996,-3419.5942
13895.44,-14353.615
-26888.35,-10040.033
4549.394,37116.62
-29590.46,-5486.813
36531.1,22813.805
-1207.6606,4953.6953
-26580.05,-8143.525
-31950.871,-13467.287
-32738.223,-8464.18
